product_name,prices,discount_percent,stars,rating,total_purchased,deal,device_setup
"Lenovo IdeaPad Slim 5 AMD Ryzen 5 7530U 14"" (35.5cm) WUXGA+ IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Arctic Grey/1.46Kg), 82XE004RIN","₹53,190₹53,190",(38% off),4.2 out of 5 stars,32,No data,Save extra with No Cost EMI,Service: Device Setup
(Refurbished) Lenovo Thinkpad Laptop L480 Full HD Screen Intel Core i5 :: 8th Generation :: 8350u Processor :: 32 GB Ram :: 512 GB SSD :: 14 Inches Notebook Computer,"₹25,491₹25,491",(75% off),4.1 out of 5 stars,50,100+ bought in past month,Save extra with No Cost EMI,No data
"HP Victus Gaming Laptop,12th Gen Intel Core i5-12450H,4GB RTX 3050 GPU,15.6-inch(39.6 cm),FHD,IPS,16GB DDR4,512GB SSD,Backlit KB,Dual speakers (MSO, Blue,2.37 kg),fa0666TX/fa0444tx","₹68,990₹68,990",(17% off),4.1 out of 5 stars,419,50+ bought in past month,Save extra with No Cost EMI,Service: Device Setup
"FUTOPIA ULTIMUS Pro, Celeron N4020c Thin & Light 4GB RAM 128GB eMMC, 14.1-inch (35.8 cm) HD Display Win 11 Home Space Grey 1.20 Kg (NU14U5INC43BN-SG)","₹12,990₹12,990",(47% off),5.0 out of 5 stars,1,No data,Save extra with No Cost EMI,No data
"Lenovo IdeaPad Pro 5 Intel Core Ultra 9 185H Built-in AI 16"" (40.6cm) 2K-OLED 400Nits 120Hz Touchscreen Laptop (32GB/1TB SSD/NVIDIA RTX 4050 6GB/Win11/Office/3mon. Game Pass/Grey/1.9Kg), 83D4002PIN","₹1,48,990₹1,48,990",(24% off),No rating,No data,No data,Save extra with No Cost EMI,Service: Device Setup
"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050, Cosmos Gray/1.86Kg), B12UC-1692IN","₹62,990₹62,990",(17% off),No rating,No data,No data,Save extra with No Cost EMI,Service: Device Setup
"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray","₹48,990₹48,990",(37% off),4.0 out of 5 stars,408,50+ bought in past month,Save extra with No Cost EMI,Service: Device Setup
"Lenovo ThinkBook 15 G5 AMD Ryzen 7 7730U 15.6"" FHD Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Fingerprint Reader/Backlit/Mineral Grey/1 Year Onsite/1.7 kg), 21JFA00BIN","₹43,830₹43,830",(66% off),3.9 out of 5 stars,21,No data,Save extra with No Cost EMI,Service: Device Setup
"HP Pavilion Plus Laptop AMD RYZEN AI Powered 7-7840U, 14-inch (35.6 cm) OLED, 2.8K UWVA, 16GB RAM, 1TB SSD, Radeon 780M Graphics, B&O, Backlit KB,(Win 11, XBOX Game Pass, Silver, 1.44kg),14-ey0789AU","₹71,490₹71,490",(33% off),4.0 out of 5 stars,2,50+ bought in past month,Save extra with No Cost EMI,Service: Device Setup
"HP Pavilion 14, 12th Gen Intel Core i5-1235U,14-inch (35.6 cm),FHD,Touchscreen,16GB DDR4, 512GB SSD, Intel Iris Xᵉ Graphics, FPR, Backlit KB, Audio by B&O (Win 11, MSO 2021, Silver, 1.41 kg),dv2041TU","₹65,499₹65,499",(16% off),4.2 out of 5 stars,67,No data,Save extra with No Cost EMI,Service: Device Setup
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 Kg), E1504FA-NJ541WS","₹44,980₹44,980",(37% off),4.1 out of 5 stars,85,No data,Save extra with No Cost EMI,Service: Device Setup
"Samsung Galaxy Book3 Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin and Light Laptop (15.6 Inch, Silver, 1.58 Kg, with MS Office)","₹81,990₹81,990",(27% off),4.0 out of 5 stars,124,No data,Save extra with No Cost EMI,Service: Device Setup
"HP Victus Gaming Laptop,12th Gen Intel Core i5-12450H,4GB RTX 3050 GPU,15.6-inch(39.6 cm),FHD,IPS,16GB DDR4,512GB SSD,Backlit KB,Dual speakers (MSO, Blue,2.37 kg),fa0666TX/fa0444tx","₹68,990₹68,990",(17% off),4.1 out of 5 stars,419,50+ bought in past month,Save extra with No Cost EMI,Service: Device Setup
Acer Travelmate Business Laptop Intel Core i7-11th Gen (Windows 11 Home/16 GB Ram/1TB SSD/Intel Iris Xe Graphics/14.0 IPS Display/Backlit Keyboard/Fingerprint Sensor) TMP214-53,"₹46,990₹46,990",(53% off),2.8 out of 5 stars,15,No data,Save extra with No Cost EMI,Service: Device Setup
"Lenovo LOQ AI Powered AMD Ryzen 7 7840HS 15.6"" (39.6cm) FHD IPS 144Hz 350Nits Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 4050 6GB/Office 2021/3 Month Game Pass/Storm Grey/2.4Kg), 82XT004JIN","₹83,990₹83,990",(41% off),3.9 out of 5 stars,51,100+ bought in past month,Save extra with No Cost EMI,Service: Device Setup
"Lenovo IdeaPad Slim 5 Intel Core Ultra 5 125H Built-in AI 14"" (35.5cm) WUXGA-OLED 400Nits Thin & Light Laptop (16GB/1TB SSD/Win 11/Office 21/FHD+IR Camera/Alexa/3 Mon GamePass/Grey/1.4Kg), 83DA003GIN","₹81,490₹81,490",(20% off),4.8 out of 5 stars,4,No data,Save extra with No Cost EMI,Service: Device Setup
"ASUS Vivobook Go 15 (2023), Intel Core i3-N305, 15.6"" (39.62 cms) FHD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Backlit KB/Silver/1.63 kg), E1504GA-NJ321WS","₹34,790₹34,790",(32% off),4.0 out of 5 stars,41,50+ bought in past month,Save extra with No Cost EMI,Service: Device Setup
"HP OMEN Gaming Laptop, 13th Gen Intel Core i7-13700HX, 8GB RTX 4060 GPU, 16.1-inch (40.9 cm), FHD, IPS, 165Hz, 300 nits, 16GB DDR5, 1TB SSD, RGB Backlit KB, B&O (Black, 2.35 kg), wf0111TX","₹1,22,990₹1,22,990",(25% off),3.0 out of 5 stars,2,No data,Save extra with No Cost EMI,Service: Device Setup
"Lenovo IdeaPad Slim 5 AMD Ryzen 5 7530U 14"" (35.5cm) WUXGA+ IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Arctic Grey/1.46Kg), 82XE004RIN","₹53,190₹53,190",(38% off),4.2 out of 5 stars,32,No data,Save extra with No Cost EMI,Service: Device Setup
"MSI Titan 18 HX, Intel 14th Gen. i9-14900HX, 45.72CM UHD+ MiniLED 120Hz Gaming Laptop(64GB/2TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4080, Core Black/3.6Kg), A14VHG-207IN","₹4,39,990₹4,39,990",(12% off),No rating,No data,No data,Save extra with No Cost EMI,Service: Device Setup
"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512GB/Win11/Office 2021/Blue/1.7 kg), X1502ZA-EJ523WS","₹49,990₹49,990",(30% off),4.0 out of 5 stars,300,No data,Save extra with No Cost EMI,Service: Device Setup
"HP Pavilion 14 12th Gen Intel Core i5 8GB RAM/512GB SSD 14 inch(35.6cm) IPS Micro-Edge FHD Laptop/Intel Iris Xe Graphics/B&O/Win 11/Alexa Built-in/Backlit KB/MSO 2021/Natural Silver, 14-dv2053TU","₹58,980₹58,980",(15% off),4.0 out of 5 stars,642,No data,Save extra with No Cost EMI,Service: Device Setup
"Dell Inspiron 3520 Laptop, Intel Core i5-1235U Processor, 16GB,512GB,15.6"" (39.62cm) FHD Display, Backlit Keyboard, Win 11 + MSO'21,15 Month McAfee, Silver, Thin & Light-1.65kg","₹51,800₹51,800",(20% off),3.6 out of 5 stars,31,50+ bought in past month,Save extra with No Cost EMI,Service: Device Setup
"MSI Cyborg 15, Intel 12th Gen. i5-12450H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4050, 6GB GDDR6/Translucent Black/1.98Kg), A12VE-071IN","₹72,990₹72,990",(35% off),4.3 out of 5 stars,31,No data,Save extra with No Cost EMI,Service: Device Setup
"Lenovo IdeaPad Gaming 3 AMD Ryzen 7 5800H 15.6"" (39.62cm) FHD IPS Gaming Laptop (16GB/512GB SSD/6GB NVIDIA RTX 3060/165Hz/Win 11/Office 2021/Backlit/3months Game Pass/Shadow Black/2.25Kg), 82K201UNIN","₹79,990₹79,990",(41% off),4.2 out of 5 stars,78,No data,Save extra with No Cost EMI,Service: Device Setup
