,id,title,price,original_price,discount,star,ratings_reviews,description,brand,model,camera,screen_size_cm,screen_size_inch,display,ram,storage,expandable_storage,color,processor,battery,rating,review,rear_camera,front_camera
24,24,"Realme 12X 5G (Twilight Purple, 128 Gb)",14999,18999,21,4.4,"4,793 Ratings & 209 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Realme,Realme 12X 5G ,50MP + 2MP | 8MP Front Camera,17.07,6.72,Full HD+,8 GB,128 GB,2 TB,Twilight Purple,Dimensity 6100+ Processor,5000 mAh Battery,4793,209,50MP,8MP
25,25,"Realme 12X 5G (Woodland Green, 128 Gb)",14999,18999,21,4.4,"4,793 Ratings & 209 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Realme,Realme 12X 5G ,50MP + 2MP | 8MP Front Camera,17.07,6.72,Full HD+,8 GB,128 GB,2 TB,Woodland Green,Dimensity 6100+ Processor,5000 mAh Battery,4793,209,50MP,8MP
26,26,"Motorola G64 5G (Ice Lilac, 256 Gb)",16999,19999,15,4.2,"11,533 Ratings & 693 Reviews",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola G64 5G ,50MP (OIS) + 8MP | 16MP Front Camera,16.51,6.5,Full HD+,12 GB,256 GB,1 TB,Ice Lilac,Dimensity 7025 Processor,6000 mAh Battery,11533,693,50MP,16MP
27,27,"Poco C65 (Pastel Green, 128 Gb)",6999,10999,36,4.3,"36,708 Ratings & 1,960 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,Poco,Poco C65 ,50MP + AI Lens + 2MP | 8MP Front Camera,17.12,6.74,HD+,4 GB,128 GB,1 TB,Pastel Green,Helio G85 Processor,5000 mAh Battery,36708,1960,50MP,8MP
28,28,"Realme 12X 5G (Woodland Green, 128 Gb)",13499,17999,25,4.4,"36,342 Ratings & 1,669 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Realme,Realme 12X 5G ,50MP + 2MP | 8MP Front Camera,17.07,6.72,Full HD+,6 GB,128 GB,2 TB,Woodland Green,Dimensity 6100+ Processor,5000 mAh Battery,36342,1669,50MP,8MP
29,29,"Poco C65 (Pastel Blue, 128 Gb)",7499,11999,37,4.2,"11,352 Ratings & 590 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,Poco,Poco C65 ,50MP + AI Lens + 2MP | 8MP Front Camera,17.12,6.74,HD+,6 GB,128 GB,1 TB,Pastel Blue,Helio G85 Processor,5000 mAh Battery,11352,590,50MP,8MP
30,30,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 Gb)",24999,27999,10,4.5,"19,990 Ratings & 1,343 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola Edge 50 Fusion ,50MP + 13MP | 32MP Front Camera,17.02,6.7,Full HD+,12 GB,256 GB,,Marshmallow Blue,7s Gen 2 Processor,5000 mAh Battery,19990,1343,50MP,32MP
31,31,"Motorola G64 5G (Mint Green, 128 Gb)",14999,17999,16,4.2,"18,729 Ratings & 988 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola G64 5G ,50MP (OIS) + 8MP | 16MP Front Camera,16.51,6.5,Full HD+,8 GB,128 GB,1 TB,Mint Green,Dimensity 7025 Processor,6000 mAh Battery,18729,988,50MP,16MP
32,32,"Motorola G34 5G (Charcoal Black, 128 Gb)",11999,14999,20,4.2,"1,06,420 Ratings & 7,385 Reviews",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola G34 5G ,50MP + 2MP | 16MP Front Camera,16.51,6.5,HD+,8 GB,128 GB,,Charcoal Black,Snapdragon 695 5G Processor,5000 mAh Battery,106420,7385,50MP,16MP
33,33,"Motorola Edge 50 Fusion (Hot Pink, 256 Gb)",24999,27999,10,4.5,"19,990 Ratings & 1,343 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola Edge 50 Fusion ,50MP + 13MP | 32MP Front Camera,17.02,6.7,Full HD+,12 GB,256 GB,,Hot Pink,7s Gen 2 Processor,5000 mAh Battery,19990,1343,50MP,32MP
