,id,title,price,original_price,discount,star,ratings_reviews,description,brand,model,camera,screen_size_cm,screen_size_inch,display,ram,storage,expandable_storage,color,processor,battery,rating,review
129,129,"SAMSUNG Galaxy M34 5G without charger (Midnight Blue, 128 GB)","₹14,705","₹24,499",39% off,4.2,"3,742 Ratings & 269 Reviews",6 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Display50MP Rear Camera6000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories,SAMSUNG,SAMSUNG Galaxy M34 5G without charger ,50MP Rear Camera,16.51,6.5,,6 GB RAM,128 GB,,Midnight Blue,,6000 mAh Battery,"3,742 Ratings",269 Reviews
130,130,"Motorola Edge 50 Pro 5G with 125W Charger (Luxe Lavender, 256 GB)","₹35,999","₹41,999",14% off,4.4,"7,441 Ratings & 624 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 13MP + 10MP | 50MP Front Camera4500 mAh Battery7 Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola Edge 50 Pro 5G with 125W Charger ,50MP + 13MP + 10MP | 50MP Front Camera,17.02,6.7,,12 GB RAM,256 GB,,Luxe Lavender,7 Gen 3 Mobile Platform Processor,4500 mAh Battery,"7,441 Ratings",624 Reviews
131,131,"realme 12 Pro 5G (Navigator Beige, 128 GB)","₹22,999","₹29,999",23% off,4.4,"20,369 Ratings & 2,041 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 32MP | 16MP Front Camera5000 mAh BatterySnapdragon 6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro 5G ,50MP + 8MP + 32MP | 16MP Front Camera,17.02,6.7,Full HD+,8 GB RAM,128 GB,,Navigator Beige,Snapdragon 6 Gen 1 Processor,5000 mAh Battery,"20,369 Ratings","2,041 Reviews"
132,132,"realme C63 (Leather Blue, 128 GB)","₹8,999","₹10,999",18% off,4.3,609 Ratings & 20 Reviews,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme C63 ,50MP Rear Camera | 8MP Front Camera,17.13,6.745,HD+,4 GB RAM,128 GB,2 TB,Leather Blue,T612 Processor,5000 mAh Battery,609 Ratings,20 Reviews
133,133,"POCO M6 5G - Locked with Airtel Prepaid (Orion Blue, 128 GB)","₹8,249","₹12,999",36% off,4.1,"34,327 Ratings & 1,900 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,POCO,POCO M6 5G - Locked with Airtel Prepaid ,50MP Rear Camera | 5MP Front Camera,17.12,6.74,HD+,4 GB RAM,128 GB,1 TB,Orion Blue,Mediatek Dimensity 6100+ Processor,5000 mAh Battery,"34,327 Ratings","1,900 Reviews"
134,134,"REDMI 12 5G (Jade Black, 256 GB)","₹13,999","₹19,999",30% off,4.2,"22,648 Ratings & 1,360 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,REDMI,REDMI 12 5G ,50MP + 2MP | 8MP Front Camera,17.25,6.79,Full HD+,8 GB RAM,256 GB,1 TB,Jade Black,Snapdragon 4 Gen 2 Processor,5000 mAh Battery,"22,648 Ratings","1,360 Reviews"
135,135,"Infinix SMART 8 (Shiny Gold, 128 GB)","₹7,999","₹10,999",27% off,4.3,"7,642 Ratings & 448 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix SMART 8 ,50MP + AI Lens | 8MP Front Camera,16.76,6.6,HD+,8 GB RAM,128 GB,2 TB,Shiny Gold,Helio G36 Processor,5000 mAh Battery,"7,642 Ratings",448 Reviews
136,136,"REDMI 12 5G (Pastel Blue, 256 GB)","₹13,999","₹19,999",30% off,4.2,"22,648 Ratings & 1,360 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,REDMI,REDMI 12 5G ,50MP + 2MP | 8MP Front Camera,17.25,6.79,Full HD+,8 GB RAM,256 GB,1 TB,Pastel Blue,Snapdragon 4 Gen 2 Processor,5000 mAh Battery,"22,648 Ratings","1,360 Reviews"
137,137,"realme 12 Pro 5G (Submarine Blue, 256 GB)","₹24,999","₹33,999",26% off,4.4,"5,730 Ratings & 328 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 32MP | 16MP Front Camera5000 mAh BatterySnapdragon 6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro 5G ,50MP + 8MP + 32MP | 16MP Front Camera,17.02,6.7,Full HD+,12 GB RAM,256 GB,,Submarine Blue,Snapdragon 6 Gen 1 Processor,5000 mAh Battery,"5,730 Ratings",328 Reviews
138,138,"realme 12 Pro 5G (Navigator Beige, 256 GB)","₹24,999","₹31,999",21% off,4.4,"20,369 Ratings & 2,041 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 32MP | 16MP Front Camera5000 mAh BatterySnapdragon 6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro 5G ,50MP + 8MP + 32MP | 16MP Front Camera,17.02,6.7,Full HD+,8 GB RAM,256 GB,,Navigator Beige,Snapdragon 6 Gen 1 Processor,5000 mAh Battery,"20,369 Ratings","2,041 Reviews"
