,pid,brand,title,stock,highlights,mrp,price,rating,first_image_url,model,screen_size_inch,display,ram,storage,color,processor,battery,average_rating,rear_camera,front_camera
347,MOBGZSDKHBHNYPSH,Nothing,"Nothing Phone (2) (White, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50 MP(OIS) +50MP | 32MP Front Camera', '4700 mAh Lithium ion Battery', 'Qualcomm Snapdragon 8+ Gen 1 Processor', 'LTPO AMOLED (1 Hz - 120 Hz)']",54999.0,34999.0,"{'average': 4.4, 'count': 18555, 'reviewCount': 2137, 'breakup': [1229, 327, 811, 3604, 12584]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/i/s/b/-original-imagrdefh2xgenzz.jpeg?q=90,Nothing Phone ,6.7,Full HD+,12,256,White,Qualcomm Snapdragon 8+ Gen 1 Processor,4700,4.4,50,32
348,MOBGZSDKU5CGE8FX,Nothing,"Nothing Phone (2) (Dark Grey, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50 MP(OIS) +50MP | 32MP Front Camera', '4700 mAh Lithium ion Battery', 'Qualcomm Snapdragon 8+ Gen 1 Processor', 'LTPO AMOLED (1 Hz - 120 Hz)']",54999.0,36999.0,"{'average': 4.4, 'count': 18555, 'reviewCount': 2137, 'breakup': [1229, 327, 811, 3604, 12584]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/u/m/b/-original-imagrdefbw6bhbjr.jpeg?q=90,Nothing Phone ,6.7,Full HD+,12,256,Dark Grey,Qualcomm Snapdragon 8+ Gen 1 Processor,4700,4.4,50,32
350,MOBGW9FEH8ZHKNDY,Poco,"Poco M6 5G (Orion Blue, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 6100+ Processor']",15999.0,11499.0,"{'average': 4.2, 'count': 15672, 'reviewCount': 800, 'breakup': [1277, 558, 1394, 3217, 9226]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/l/v/b/-original-imagytcpqznwrvse.jpeg?q=90,Poco M6 5G ,6.74,HD+,8,256,Orion Blue,Mediatek Dimensity 6100+ Processor,5000,4.2,50,5
353,MOBGVTA2VGHCJFGG,Samsung,"Samsung Galaxy S23 Fe (Purple, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '16.26 cm (6.4 inch) Full HD+ Display', '50MP + 12MP | 10MP Front Camera', '4500 mAh Battery', 'Samsung Exynos 2200 Processor']",84999.0,44999.0,"{'average': 4.3, 'count': 13046, 'reviewCount': 869, 'breakup': [1046, 309, 723, 2642, 8326]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/r/c/8/-original-imagztn77hdgmeka.jpeg?q=90,Samsung Galaxy S23 Fe ,6.4,Full HD+,8,256,Purple,Samsung Exynos 2200 Processor,4500,4.3,50,10
354,MOBGR5TSZH4ZGVZT,Vivo,"Vivo Y27 (Burgundy Black, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM', '16.87 cm (6.64 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor']",18999.0,10999.0,"{'average': 4.2, 'count': 2361, 'reviewCount': 104, 'breakup': [196, 91, 192, 427, 1455]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/t/f/2/y27-v2249-vivo-original-imahfmkqf5mrugjq.jpeg?q=90,Vivo Y27 ,6.64,Full HD+,6,128,Burgundy Black,Helio G85 Processor,5000,4.2,50,8
359,MOBGU8PYQNEGCN7H,Realme,"Realme C51 (Carbon Black, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD Display', '50MP + 0.08MP | 5MP Front Camera', '5000 mAh Battery', 'T612 Processor']",11999.0,9499.0,"{'average': 4.3, 'count': 88177, 'reviewCount': 3672, 'breakup': [5300, 3011, 6606, 15425, 57835]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/t/5/5/-original-imagt4qzhsrnpyhb.jpeg?q=90,Realme C51 ,6.74,HD,4,128,Carbon Black,T612 Processor,5000,4.3,08,5
361,MOBGXTV9KCCY984H,Poco,"Poco M6 5G (Polaris Green, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 6100+ Processor']",12999.0,8999.0,"{'average': 4.1, 'count': 40737, 'reviewCount': 2160, 'breakup': [4075, 1705, 3624, 8097, 23236]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/d/3/g/-original-imagy2v5ggthbvfe.jpeg?q=90,Poco M6 5G ,6.74,HD+,4,128,Polaris Green,Mediatek Dimensity 6100+ Processor,5000,4.1,50,5
362,MOBH34XGRHK9HZQF,Infinix,"Infinix Note 40X 5G (Lime Green, 256 Gb)",OUT_OF_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.22 cm (6.78 inch) Full HD+ Display', '108MP + 2MP + AI Lens | 8MP Front Camera', '5000 mAh Lithium-ion Polymer Battery', 'Dimensity 6300 Processor']",19999.0,14999.0,"{'average': 4.2, 'count': 332, 'reviewCount': 24, 'breakup': [26, 11, 20, 81, 194]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/b/4/f/note-40x-5g-x6838-infinix-original-imah3fb6j7npkjtt.jpeg?q=90,Infinix Note 40X 5G ,6.78,Full HD+,8,256,Lime Green,Dimensity 6300 Processor,5000,4.2,108,8
363,MOBGHT8UMJBMCAWN,Samsung,"Samsung Galaxy A14 5G (Light Green, 64 Gb)",OUT_OF_STOCK,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + 2MP | 13MP Front Camera', '5000 mAh Lithium Ion Battery', 'SEC S5E8535 (Exynos 1330) Processor']",18499.0,11990.0,"{'average': 4.1, 'count': 4211, 'reviewCount': 267, 'breakup': [406, 184, 380, 844, 2397]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/v/l/g/-original-imagmefctrqmqjrp.jpeg?q=90,Samsung Galaxy A14 5G ,6.6,HD+,4,64,Light Green,SEC S5E8535 (Exynos 1330) Processor,5000,4.1,50,13
364,MOBHY9R9D4CF95S2,Infinix,"Infinix Smart 8 Hd (Galaxy White, 64 Gb)",OUT_OF_STOCK,"['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '16.76 cm (6.6 inch) HD+ Display', '13MP + AI Lens | 8MP Front Camera', '5000 mAh Battery', 'T606 Processor']",8999.0,6999.0,"{'average': 4.3, 'count': 976, 'reviewCount': 35, 'breakup': [73, 37, 69, 181, 616]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/1/h/3/-original-imagwfffzjftbg27.jpeg?q=90,Infinix Smart 8 Hd ,6.6,HD+,4,64,Galaxy White,T606 Processor,5000,4.3,13,8
366,MOBH34XGVBZFTQMU,Infinix,"Infinix Note 40X 5G (Lime Green, 256 Gb)",OUT_OF_STOCK,"['12 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.22 cm (6.78 inch) Full HD+ Display', '108MP + 2MP + AI Lens | 8MP Front Camera', '5000 mAh Lithium-ion Polymer Battery', 'Dimensity 6300 Processor']",21999.0,15999.0,"{'average': 4.1, 'count': 235, 'reviewCount': 11, 'breakup': [26, 7, 24, 43, 135]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/b/4/f/note-40x-5g-x6838-infinix-original-imah3fb6j7npkjtt.jpeg?q=90,Infinix Note 40X 5G ,6.78,Full HD+,12,256,Lime Green,Dimensity 6300 Processor,5000,4.1,108,8
367,MOBGYBAVBQ86QKJT,Samsung,"Samsung Galaxy F15 5G (Ash Black, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) Full HD+ Display', '50MP + 5MP + 2MP | 13MP Front Camera', '6000 mAh Lithium ion Battery', 'MediaTek Dimensity 6100+ Processor']",16999.0,14499.0,"{'average': 4.2, 'count': 21952, 'reviewCount': 1808, 'breakup': [1761, 702, 1621, 5260, 12608]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/m/u/d/-original-imah3agqugmgpwty.jpeg?q=90,Samsung Galaxy F15 5G ,6.5,Full HD+,6,128,Ash Black,MediaTek Dimensity 6100+ Processor,6000,4.2,50,13
368,MOBGEA3CZ8Z7HWCY,Motorola,"Motorola G32 (Mineral Gray, 64 Gb)",IN_STOCK,"['4 GB RAM | 64 GB ROM', '16.51 cm (6.5 inch) Full HD+ Display', '50MP + 8MP + 2MP | 16MP Front Camera', '5000 mAh Lithium Polymer Battery', 'Qualcomm Snapdragon 680 Processor']",16999.0,10999.0,"{'average': 4.2, 'count': 46025, 'reviewCount': 3979, 'breakup': [3285, 1394, 3766, 11890, 25690]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/l/l/z/-original-imaggvfzzt7qhhax.jpeg?q=90,Motorola G32 ,6.5,Full HD+,4,64,Mineral Gray,Qualcomm Snapdragon 680 Processor,5000,4.2,50,16
370,MOBH2YYDHHUSGGVX,Realme,"Realme 13 Pro+ 5G (Monet Gold, 512 Gb)",IN_STOCK,"['12 GB RAM | 512 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 50MP | 32MP Front Camera', '5200 mAh Battery', 'Snapdragon 7s Gen2 Processor']",40999.0,36999.0,"{'average': 4.5, 'count': 741, 'reviewCount': 62, 'breakup': [39, 16, 28, 132, 526]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/r/u/k/-original-imah38dbzpraunnj.jpeg?q=90,Realme 13 Pro+ 5G ,6.7,Full HD+,12,512,Monet Gold,Snapdragon 7s Gen2 Processor,5200,4.5,50,32
372,MOBGZCQMHGWDYZQ7,Google,"Google Pixel 7A (Charcoal, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '15.49 cm (6.1 inch) Full HD+ Display', '64MP (OIS) + 13MP | 13MP Front Camera', '4300 mAh Battery', 'Tensor G2 Processor']",43999.0,37999.0,"{'average': 4.1, 'count': 20132, 'reviewCount': 2107, 'breakup': [2345, 632, 1244, 4007, 11904]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/n/i/d/-original-imagpgx4erjqnpzx.jpeg?q=90,Google Pixel 7A ,6.1,Full HD+,8,128,Charcoal,Tensor G2 Processor,4300,4.1,64,13
373,MOBGX2F3RQKKKTAW,Samsung,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.27 cm (6.8 inch) Quad HD+ Display', '200MP + 50MP + 12MP + 10MP | 12MP Front Camera', '5000 mAh Battery', 'Snapdragon 8 Gen 3 Processor']",134999.0,121999.0,"{'average': 4.6, 'count': 1944, 'reviewCount': 247, 'breakup': [111, 27, 41, 231, 1534]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/5/i/7/-original-imahfu766ybd5h4z.jpeg?q=90,Samsung Galaxy S24 Ultra 5G ,6.8,HD+,12,256,Titanium Gray,Snapdragon 8 Gen 3 Processor,5000,4.6,200,12
374,MOBGS9T5T9GCCWJM,Redmi,"Redmi 12 5G (Pastel Blue, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.25 cm (6.79 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Snapdragon 4 Gen 2 Processor']",15999.0,11999.0,"{'average': 4.3, 'count': 10925, 'reviewCount': 478, 'breakup': [764, 357, 882, 2261, 6661]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/x/0/4/-original-imagxaqu3samghjd.jpeg?q=90,Redmi 12 5G ,6.79,Full HD+,4,128,Pastel Blue,Snapdragon 4 Gen 2 Processor,5000,4.3,50,8
379,MOBHFGUHMB7VVGRM,Realme,"Realme Gt 6 (Razor Green, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '50MP + 8MP + 50MP | 32MP Front Camera', '5500 mAh Battery', '8s Gen 3 Mobile Platform Processor']",46999.0,42999.0,"{'average': 4.4, 'count': 281, 'reviewCount': 24, 'breakup': [12, 9, 14, 59, 187]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/m/1/7/gt-6-rmx3851-realme-original-imah2y7ewhzjpfhd.jpeg?q=90,Realme Gt 6 ,6.78,Full HD+,12,256,Razor Green,8s Gen 3 Mobile Platform Processor,5500,4.4,50,32
380,MOBHFGUHSF9EGJPR,Realme,"Realme Gt 6 (Fluid Silver, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '50MP + 8MP + 50MP | 32MP Front Camera', '5500 mAh Battery', '8s Gen 3 Mobile Platform Processor']",46999.0,42999.0,"{'average': 4.4, 'count': 281, 'reviewCount': 24, 'breakup': [12, 9, 14, 59, 187]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/l/i/a/-original-imah2y7hazjdbrzh.jpeg?q=90,Realme Gt 6 ,6.78,Full HD+,12,256,Fluid Silver,8s Gen 3 Mobile Platform Processor,5500,4.4,50,32
381,MOBGYT2HDZYASSZG,Samsung,"Samsung Galaxy A35 5G (Awesome Lilac, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 8MP + 5MP | 13MP Front Camera', '5000 mAh Battery', 'Samsung Exynos 1380 Processor']",33999.0,30999.0,"{'average': 4.3, 'count': 630, 'reviewCount': 44, 'breakup': [43, 18, 46, 128, 395]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/o/c/e/-original-imahyukdgr6fgp7r.jpeg?q=90,Samsung Galaxy A35 5G ,6.6,Full HD+,8,128,Awesome Lilac,Samsung Exynos 1380 Processor,5000,4.3,50,13
390,MOBGS9QU7QVWUWRD,Redmi,"Redmi 12 5G (Jade Black, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.25 cm (6.79 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Snapdragon 4 Gen 2 Processor']",15999.0,11999.0,"{'average': 4.3, 'count': 10925, 'reviewCount': 478, 'breakup': [764, 357, 882, 2261, 6661]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/b/m/g/-original-imagxaqtqng2hpxn.jpeg?q=90,Redmi 12 5G ,6.79,Full HD+,4,128,Jade Black,Snapdragon 4 Gen 2 Processor,5000,4.3,50,8
391,MOBGZCQMZXYXCZCH,Google,"Google Pixel 7A (Snow, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '15.49 cm (6.1 inch) Full HD+ Display', '64MP (OIS) + 13MP | 13MP Front Camera', '4300 mAh Battery', 'Tensor G2 Processor']",43999.0,37999.0,"{'average': 4.1, 'count': 20132, 'reviewCount': 2107, 'breakup': [2345, 632, 1244, 4007, 11904]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/v/f/d/-original-imagpgx4g2m63gfh.jpeg?q=90,Google Pixel 7A ,6.1,Full HD+,8,128,Snow,Tensor G2 Processor,4300,4.1,64,13
392,MOBGWH8STKHPCKGN,Realme,"Realme 12 Pro+ 5G (Navigator Beige, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 64MP | 32MP Front Camera', '5000 mAh Battery', 'Snapdragon 7s Gen 2 Processor']",37999.0,30999.0,"{'average': 4.4, 'count': 6096, 'reviewCount': 665, 'breakup': [327, 107, 314, 1124, 4224]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/z/f/g/-original-imagxhd5gqhzszeb.jpeg?q=90,Realme 12 Pro+ 5G ,6.7,Full HD+,12,256,Navigator Beige,Snapdragon 7s Gen 2 Processor,5000,4.4,50,32
393,MOBGWH8SERYVVPV8,Realme,"Realme 12 Pro+ 5G (Submarine Blue, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 64MP | 32MP Front Camera', '5000 mAh Battery', 'Snapdragon 7s Gen 2 Processor']",37999.0,30999.0,"{'average': 4.4, 'count': 6096, 'reviewCount': 665, 'breakup': [327, 107, 314, 1124, 4224]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/g/t/u/-original-imagxhd5xtjuwnqz.jpeg?q=90,Realme 12 Pro+ 5G ,6.7,Full HD+,12,256,Submarine Blue,Snapdragon 7s Gen 2 Processor,5000,4.4,50,32
394,MOBGWH8SB4QUY3H7,Realme,"Realme 12 Pro+ 5G (Explorer Red, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 64MP | 32MP Front Camera', '5000 mAh Battery', 'Snapdragon 7s Gen 2 Processor']",37999.0,30999.0,"{'average': 4.4, 'count': 6096, 'reviewCount': 665, 'breakup': [327, 107, 314, 1124, 4224]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/b/v/c/12-pro-5g-rmx3840-realme-original-imagxgnkafjjhpmk.jpeg?q=90,Realme 12 Pro+ 5G ,6.7,Full HD+,12,256,Explorer Red,Snapdragon 7s Gen 2 Processor,5000,4.4,50,32
396,MOBGXTV9G4DAVQTC,Poco,"Poco M6 5G (Polaris Green, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 6100+ Processor']",15999.0,11499.0,"{'average': 4.2, 'count': 15672, 'reviewCount': 800, 'breakup': [1277, 558, 1394, 3217, 9226]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/d/3/g/-original-imagy2v5ggthbvfe.jpeg?q=90,Poco M6 5G ,6.74,HD+,8,256,Polaris Green,Mediatek Dimensity 6100+ Processor,5000,4.2,50,5
399,MOBGWH8S2TF4CAGN,Realme,"Realme 12 Pro+ 5G (Submarine Blue, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 64MP | 32MP Front Camera', '5000 mAh Battery', 'Snapdragon 7s Gen 2 Processor']",35999.0,28999.0,"{'average': 4.4, 'count': 18332, 'reviewCount': 2321, 'breakup': [852, 354, 914, 4028, 12184]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/g/t/u/-original-imagxhd5xtjuwnqz.jpeg?q=90,Realme 12 Pro+ 5G ,6.7,Full HD+,8,256,Submarine Blue,Snapdragon 7s Gen 2 Processor,5000,4.4,50,32
403,MOBGWXHPZ3DVXZEG,Tecno,"Tecno Spark Go 2024 (Magic Skin Green, 64 Gb)",IN_STOCK,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.66 cm (6.56 inch) HD+ Display', '13MP + 0.8MP | 8MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor']",7999.0,7199.0,"{'average': 4.3, 'count': 871, 'reviewCount': 38, 'breakup': [51, 46, 74, 142, 558]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/q/h/t/-original-imagz37gf4qdzff4.jpeg?q=90,Tecno Spark Go 2024 ,6.56,HD+,4,64,Magic Skin Green,Unisoc T606 Processor,5000,4.3,8,8
404,MOBGWBA52PMHZF4N,Tecno,"Tecno Spark Go 2024 (Mystery White, 64 Gb)",IN_STOCK,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.66 cm (6.56 inch) HD+ Display', '13MP + 0.08MP | 8MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor']",7999.0,7199.0,"{'average': 4.3, 'count': 871, 'reviewCount': 38, 'breakup': [51, 46, 74, 142, 558]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/x/b/e/-original-imagz37gqyrzbjyf.jpeg?q=90,Tecno Spark Go 2024 ,6.56,HD+,4,64,Mystery White,Unisoc T606 Processor,5000,4.3,08,8
405,MOBGRHT3CGX9P9TW,Itel,"Itel S23 With Dual Sim| 50Mp Rear Camera| 5000Mah Battery|Expandable Upto 1 Tb (Sky Blue, 128 Gb)",OUT_OF_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'Unisoc Tiger T606 Processor']",9500.0,7499.0,"{'average': 4.1, 'count': 780, 'reviewCount': 32, 'breakup': [69, 40, 81, 131, 459]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/2/k/h/s23-s665l-itel-original-imagrht3zzbnm26n.jpeg?q=90,Itel S23 With Dual Sim| 50Mp Rear Camera| 5000Mah Battery|Expandable Upto 1 Tb ,6.6,HD+,4,128,Sky Blue,Unisoc Tiger T606 Processor,5000,4.1,50,8
407,MOBGX2F3ZUBMWBGP,Samsung,"Samsung Galaxy S24 5G (Onyx Black, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '15.75 cm (6.2 inch) Full HD+ Display', '50MP + 10MP + 12MP | 12MP Front Camera', '4000 mAh Battery', 'Exynos 2400 Processor']",79999.0,67999.0,"{'average': 4.4, 'count': 1097, 'reviewCount': 136, 'breakup': [63, 25, 50, 180, 779]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/u/c/w/-original-imahyvnursvngwdm.jpeg?q=90,Samsung Galaxy S24 5G ,6.2,Full HD+,8,256,Onyx Black,Exynos 2400 Processor,4000,4.4,50,12
410,MOBGXMWNNFBTTSNF,Tecno,"Tecno Spark Go 2024 (Magic Skin Green, 64 Gb)",IN_STOCK,"['3 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.66 cm (6.56 inch) HD+ Display', '13MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor']",7499.0,6899.0,"{'average': 4.3, 'count': 398, 'reviewCount': 12, 'breakup': [30, 16, 19, 66, 267]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/q/h/t/-original-imagz37gf4qdzff4.jpeg?q=90,Tecno Spark Go 2024 ,6.56,HD+,3,64,Magic Skin Green,Unisoc T606 Processor,5000,4.3,13,8
412,MOBGYGCBHGAK8WGS,Vivo,"Vivo V30 5G (Classic Black, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '50MP + 50MP | 50MP Front Camera', '5000 mAh Battery', '7 Gen 3 Processor']",42999.0,35999.0,"{'average': 4.5, 'count': 935, 'reviewCount': 87, 'breakup': [45, 13, 44, 172, 661]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/n/k/a/-original-imagyzw9nzhtpmup.jpeg?q=90,Vivo V30 5G ,6.78,Full HD+,12,256,Classic Black,7 Gen 3 Processor,5000,4.5,50,50
413,MOBHY3B2JWVU5NZT,Redmi,"Redmi 13C 5G (Starlight Black, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 6100+ Processor']",17999.0,13999.0,"{'average': 4.2, 'count': 4518, 'reviewCount': 222, 'breakup': [378, 182, 363, 924, 2671]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/g/q/5/-original-imahfkf6jcuhhzyb.jpeg?q=90,Redmi 13C 5G ,6.74,HD+,8,256,Starlight Black,Mediatek Dimensity 6100+ Processor,5000,4.2,50,5
416,MOBH2M2DHZWDKYFE,Poco,"Poco M6 Plus 5G (Ice Silver, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.25 cm (6.79 inch) Full HD+ Display', '108MP + 2MP | 13MP Front Camera', '5030 mAh Battery', 'Snapdragon 4 Gen2 AE Processor']",17999.0,13499.0,"{'average': 4.1, 'count': 290, 'reviewCount': 19, 'breakup': [30, 11, 23, 60, 166]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/c/u/c/-original-imah3afneszgnrt6.jpeg?q=90,Poco M6 Plus 5G ,6.79,Full HD+,8,128,Ice Silver,Snapdragon 4 Gen2 AE Processor,5030,4.1,108,13
417,MOBGYGCBRZXRFZDK,Vivo,"Vivo V30 5G (Classic Black, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '50MP + 50MP | 50MP Front Camera', '5000 mAh Battery', '7 Gen 3 Processor']",40999.0,33999.0,"{'average': 4.5, 'count': 5930, 'reviewCount': 506, 'breakup': [252, 95, 299, 1226, 4058]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/n/k/a/-original-imagyzw9nzhtpmup.jpeg?q=90,Vivo V30 5G ,6.78,Full HD+,8,256,Classic Black,7 Gen 3 Processor,5000,4.5,50,50
419,MOBGVVTX2QNXDJ2W,Poco,"Poco C65 (Pastel Blue, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP + AI Lens + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor']",13499.0,9499.0,"{'average': 4.2, 'count': 10235, 'reviewCount': 552, 'breakup': [792, 365, 865, 2025, 6188]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/b/u/8/c65-mzb0g8nin-poco-original-imagw6j2kp5t5jek.jpeg?q=90,Poco C65 ,6.74,HD+,8,256,Pastel Blue,Helio G85 Processor,5000,4.2,50,8
420,MOBGVZ4MMMTGQTRR,Tecno,"Tecno Spark Go 2024 (Gravity Black, 64 Gb)",IN_STOCK,"['3 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.66 cm (6.56 inch) HD+ Display', '13MP + 0.8MP | 8MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor']",7499.0,6899.0,"{'average': 4.3, 'count': 398, 'reviewCount': 12, 'breakup': [30, 16, 19, 66, 267]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/x/w/v/-original-imagz37hmkhgjrkq.jpeg?q=90,Tecno Spark Go 2024 ,6.56,HD+,3,64,Gravity Black,Unisoc T606 Processor,5000,4.3,8,8
426,MOBHY3B27G3PBHVU,Redmi,"Redmi 13C 5G (Starlight Black, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 6100+ Processor']",15999.0,11999.0,"{'average': 4.2, 'count': 10450, 'reviewCount': 448, 'breakup': [732, 350, 879, 2255, 6234]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/g/q/5/-original-imahfkf6jcuhhzyb.jpeg?q=90,Redmi 13C 5G ,6.74,HD+,6,128,Starlight Black,Mediatek Dimensity 6100+ Processor,5000,4.2,50,5
