,pid,brand,title,stock,highlights,mrp,price,rating,first_image_url,model,screen_size_inch,display,ram,storage,color,processor,battery,average_rating,rear_camera,front_camera
26,MOBGXZGHKMQ5TSBT,Infinix,"Infinix Hot 40I (Horizon Gold, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 2 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + AI Lens | 32MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor']",10999.0,8999.0,"{'average': 4.1, 'count': 13826, 'reviewCount': 832, 'breakup': [1422, 622, 1219, 2347, 8216]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/q/y/o/hot-40i-x6528-infinix-original-imagxquujpnngqgz.jpeg?q=90,Infinix Hot 40I ,6.6,HD+,8,256,Horizon Gold,Unisoc T606 Processor,5000,4.1,50,32
27,MOBGVVTXZESSZY4W,Poco,"Poco C65 (Pastel Blue, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP + AI Lens + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor']",10999.0,6799.0,"{'average': 4.3, 'count': 46390, 'reviewCount': 2349, 'breakup': [2715, 1492, 4182, 10692, 27309]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/b/u/8/c65-mzb0g8nin-poco-original-imagw6j2kp5t5jek.jpeg?q=90,Poco C65 ,6.74,HD+,4,128,Pastel Blue,Helio G85 Processor,5000,4.3,50,8
28,MOBGZZCDVNWUZSPJ,Vivo,"Vivo T3X 5G (Crimson Bliss, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '6000 mAh Battery', '6 Gen 1 Processor']",20499.0,16499.0,"{'average': 4.4, 'count': 10559, 'reviewCount': 505, 'breakup': [518, 233, 617, 2178, 7013]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/w/3/4/-original-imahyytukhkky5ew.jpeg?q=90,Vivo T3X 5G ,6.72,Full HD+,8,128,Crimson Bliss,6 Gen 1 Processor,6000,4.4,50,8
30,MOBGRZMYHHCWCAXG,Samsung,"Samsung Galaxy F34 5G (Mystic Green, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) Full HD+ Display', '50MP (OIS) + 8MP + 2MP | 13MP Front Camera', '6000 mAh Battery', 'Exynos 1280 Processor']",25999.0,14999.0,"{'average': 4.2, 'count': 11414, 'reviewCount': 845, 'breakup': [937, 326, 872, 2672, 6607]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/n/w/e/-original-imagtyw9fdfnsune.jpeg?q=90,Samsung Galaxy F34 5G ,6.5,Full HD+,8,128,Mystic Green,Exynos 1280 Processor,6000,4.2,50,13
31,MOBHY9PQZ5BGXPKX,Motorola,"Motorola G04S (Sunrise Orange, 64 Gb)",IN_STOCK,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'T606 Processor']",9999.0,6999.0,"{'average': 4.2, 'count': 13447, 'reviewCount': 690, 'breakup': [963, 431, 1050, 3089, 7914]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/o/l/c/g04s-pb360003in-motorola-original-imahfc49s8ehsdba.jpeg?q=90,Motorola G04S ,6.6,HD+,4,64,Sunrise Orange,T606 Processor,5000,4.2,50,5
32,MOBGZRNEPA4FFHCV,Vivo,"Vivo T3X 5G (Crimson Bliss, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '6000 mAh Battery', '6 Gen 1 Processor']",18999.0,14999.0,"{'average': 4.5, 'count': 44849, 'reviewCount': 1416, 'breakup': [1730, 894, 2356, 8330, 31539]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/w/3/4/-original-imahyytukhkky5ew.jpeg?q=90,Vivo T3X 5G ,6.72,Full HD+,6,128,Crimson Bliss,6 Gen 1 Processor,6000,4.5,50,8
33,MOBGZRNERKDV5ECF,Vivo,"Vivo T3X 5G (Celestial Green, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '6000 mAh Battery', '6 Gen 1 Processor']",18999.0,14999.0,"{'average': 4.5, 'count': 44849, 'reviewCount': 1416, 'breakup': [1730, 894, 2356, 8330, 31539]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/k/g/j/t3x-5g-v2338-vivo-original-imahyyzaqhgwzfup.jpeg?q=90,Vivo T3X 5G ,6.72,Full HD+,6,128,Celestial Green,6 Gen 1 Processor,6000,4.5,50,8
35,MOBGY2JUK2JQHPYK,Motorola,"Motorola G64 5G (Mint Green, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) Full HD+ Display', '50MP (OIS) + 8MP | 16MP Front Camera', '6000 mAh Battery', 'Dimensity 7025 Processor']",17999.0,14999.0,"{'average': 4.2, 'count': 25128, 'reviewCount': 1340, 'breakup': [1851, 710, 1766, 6222, 14579]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/l/x/h/g64-5g-pb2e0001in-motorola-original-imagzzd3ecgm2wp5.jpeg?q=90,Motorola G64 5G ,6.5,Full HD+,8,128,Mint Green,Dimensity 7025 Processor,6000,4.2,50,16
37,MOBHFRKRNXGJFHFP,Realme,"Realme C63 (Leather Blue, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.13 cm (6.745 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'T612 Processor']",10999.0,8999.0,"{'average': 4.3, 'count': 1529, 'reviewCount': 65, 'breakup': [90, 49, 100, 333, 957]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/7/s/h/-original-imah2pgrrhz2nufs.jpeg?q=90,Realme C63 ,6.745,HD+,4,128,Leather Blue,T612 Processor,5000,4.3,50,8
38,MOBGZRNEHZHTGNJ5,Vivo,"Vivo T3X 5G (Celestial Green, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '6000 mAh Battery', '6 Gen 1 Processor']",17499.0,13499.0,"{'average': 4.5, 'count': 15016, 'reviewCount': 467, 'breakup': [672, 354, 796, 2565, 10629]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/k/g/j/t3x-5g-v2338-vivo-original-imahyyzaqhgwzfup.jpeg?q=90,Vivo T3X 5G ,6.72,Full HD+,4,128,Celestial Green,6 Gen 1 Processor,6000,4.5,50,8
